Position,Man,Woman
1,500,400
2,450,350
3,420,320
4,400,300
5,390,290
6,380,280
7,370,270
8,360,260
9,350,250
10,340,240
11,330,230
12,320,220
13,310,210
14,300,200
15,290,190
16,280,180
17,270,170
18,260,160
19,250,150
20,240,140
21,230,130
22,220,120
23,210,110
24,200,100
25,190,90
26,180,80
27,170,70
28,160,60
29,150,50
30,145,40
31,140,30
32,135,20
33,130,10
34,125,5
35,120,1
36,115,0
37,110,0
38,105,0
39,100,0
40,95,0
41,90,0
42,85,0
43,80,0
44,75,0
45,70,0
46,65,0
47,60,0
48,55,0
49,50,0
50,49,0
51,48,0
52,47,0
53,46,0
54,45,0
55,44,0
56,43,0
57,42,0
58,41,0
59,40,0
60,39,0
61,38,0
62,37,0
63,36,0
64,35,0
65,34,0
66,33,0
67,32,0
68,31,0
69,30,0
70,29,0
71,28,0
72,27,0
73,26,0
74,25,0
75,24,0
76,23,0
77,22,0
78,21,0
79,20,0
80,19,0
81,18,0
82,17,0
83,16,0
84,15,0
85,14,0
86,13,0
87,12,0
88,11,0
89,10,0
90,9,0
91,8,0
92,7,0
93,6,0
94,5,0
95,4,0
96,3,0
97,2,0
98,1,0
99,0,0